text,intent,slots
How can I increase the humidity for my ferns,plant_caretaking_advice,O O O O O O O O PlantName
What type of herbs can thrive in partial sunlight,plant_purchasing_advice,O O O O O O O O O
Can you suggest an indoor flowering plant that blooms throughout the year,plant_purchasing_advice,O O O O O O O O O O O O
I need a plant that can grow in water What are my options,plant_purchasing_advice,O O O O O O O O O O O O O
I am looking for a big and green plant for my bedroom any suggestions,plant_purchasing_advice,O O O O O O O O O O O O O O
Which is the best low maintenance plant for office,plant_purchasing_advice,O O O O O O O O O
My rosemary has black spots on the leaves What should I do,plant_disease_advice,O PlantName O O O O O O O O O O
How do I treat powdery mildew on my zinnias,plant_disease_advice,O O O O O O O O PlantName
What can I do about aphids on my gardenia,plant_disease_advice,O O O O O O O O PlantName
Is there a natural remedy for scale insects on my bonsai,plant_disease_advice,O O O O O O O O O O PlantName
How to prevent root rot in succulents,plant_disease_advice,O O O O O O O
What watering regime would you suggest for a ZZ plant,plant_caretaking_advice,O O O O O O O O PlantName O
Can you tell me how to prune a fiddle leaf fig,plant_caretaking_advice,O O O O O O O O PlantName PlantName PlantName
What kind of soil does a cactus require,plant_caretaking_advice,O O O O O O PlantName O
How can I repot my rubber plant without causing shock,plant_caretaking_advice,O O O O O PlantName PlantName O O O
What are the signs of overwatering in spider plants,plant_disease_advice,O O O O O O O PlantName PlantName
Which plants would you suggest for a droughtprone balcony,plant_purchasing_advice,O O O O O O O O O
Can you recommend a flowering plant for a partial shade area,plant_purchasing_advice,O O O O O O O O O O O
What indoor plants produce the most oxygen,plant_purchasing_advice,O O O O O O O
Which fruit plants can blossom indoors,plant_purchasing_advice,O O O O O O
I need a plant thats safe for dogs Any suggestions,plant_purchasing_advice,O O O O O O O O O O
Why are the leaves on my jade plant shriveling up,plant_disease_advice,O O O O O O PlantName PlantName O O
My monsteras edges are turning brown Whats wrong,plant_disease_advice,O PlantName O O O O O O
Are there any natural remedies for powdery mildew on indoor plants,plant_disease_advice,O O O O O O O O O O O
What could be the cause of black spots on my chinese evergreen leaves,plant_disease_advice,O O O O O O O O O O PlantName PlantName O
How can I treat root rot in my snake plant,plant_disease_advice,O O O O O O O O PlantName PlantName
What should the temperature be for my potted cactus to grow,plant_caretaking_advice,O O O O O O O O PlantName O O
What is the watering requirement for indoor bamboo plants,plant_caretaking_advice,O O O O O O O PlantName O
How much sunlight would be ideal for my indoor fern,plant_caretaking_advice,O O O O O O O O O PlantName
Can you advice me on pruning techniques for a Monstera Deliciosa,plant_caretaking_advice,O O O O O O O O O PlantName PlantName
What kind of soil is best for my indoor palm,plant_caretaking_advice,O O O O O O O O O PlantName
Can you suggest a flower that will bloom in the winter indoors,plant_purchasing_advice,O O O O O O O O O O O O
What kind of plant can I purchase for a room that gets little sunlight,plant_purchasing_advice,O O O O O O O O O O O O O O
What flowering plants would you suggest for a balcony that gets direct sun,plant_purchasing_advice,O O O O O O O O O O O O O
Can you recommend a plant that I can place in my low humidity office,plant_purchasing_advice,O O O O O O O O O O O O O O
What would be the best herb plant to grow on a kitchen window sill,plant_purchasing_advice,O O O O O O O O O O O O O O
My rose plant leaves have black spots What is it,plant_disease_advice,O PlantName O O O O O O O O
I noticed a white fuzzy substance on my houseplant Is it harmful,plant_disease_advice,O O O O O O O O O O O O
Why are the leaves of my indoor plant curling,plant_disease_advice,O O O O O O O O O
What can I do to treat powdery mildew on my zinnias,plant_disease_advice,O O O O O O O O O O PlantName
Why are my indoor plants getting yellow leaves with brown tips,plant_disease_advice,O O O O O O O O O O O
Which succulents are best for an indoor garden,plant_purchasing_advice,O O O O O O O O
What type of plant would you recommend for improving indoor air quality,plant_purchasing_advice,O O O O O O O O O O O O
Can you suggest a flowering plant that can survive in low light,plant_purchasing_advice,O O O O O O O O O O O O
What kind of plants are safe for pets,plant_purchasing_advice,O O O O O O O O
Im looking for a plant that can tolerate high humidity any ideas,plant_purchasing_advice,O O O O O O O O O O O O
My rose bush is attracting aphids How do I manage this,plant_disease_advice,O PlantName O O O O O O O O O
Whats the best treatment for powdery mildew on my potted plants,plant_disease_advice,O O O O O O O O O O O
Why are there holes in the leaves of my indoor plants,plant_disease_advice,O O O O O O O O O O O
I think my plant has root rot what should I do,plant_disease_advice,O O O O O O O O O O O
How should I treat an indoor citrus tree infested with scale,plant_disease_advice,O O O O O O PlantName PlantName O O O
What is the right way to water an indoor palm,plant_caretaking_advice,O O O O O O O O O PlantName
When is the right time to repot a houseplant,plant_caretaking_advice,O O O O O O O O O
My fern is shedding a lot of leaves what should I do,plant_caretaking_advice,O PlantName O O O O O O O O O O
Can you guide me on how to prune a snake plant properly,plant_caretaking_advice,O O O O O O O O O PlantName PlantName O
How much humidity does a maidenhair fern need,plant_caretaking_advice,O O O O O PlantName PlantName O
How often should I water my snake plant,plant_caretaking_advice,O O O O O O PlantName PlantName
Can I use coffee grounds as fertilizer for my houseplants,plant_caretaking_advice,O O O O O O O O O O
Why are the tips of my spider plant turning brown,plant_caretaking_advice,O O O O O O PlantName PlantName O O
How much light does a ZZ plant require,plant_caretaking_advice,O O O O O PlantName PlantName O
Should I mist my fern or water it directly,plant_caretaking_advice,O O O O PlantName O O O O
What type of indoor plant would you recommend for improving air quality,plant_purchasing_advice,O O O O O O O O O O O O
How big does a fiddle leaf fig usually grow,plant_purchasing_advice,O O O O PlantName PlantName PlantName O O
Could you suggest flowering plants that can grow well indoors,plant_purchasing_advice,O O O O O O O O O O
Is palm a good indoor plant option Does it grow well in low light conditions,plant_purchasing_advice,O O O O O O O O O O O O O O O
What kind of edible plants can grow indoors,plant_purchasing_advice,O O O O O O O O
My indoor rose plant has black spots on leaves How should I treat it,plant_disease_advice,O O PlantName O O O O O O O O O O O
What is the white powder on my indoor plants leaves and how to eliminate it,plant_disease_advice,O O O O O O O O O O O O O O O
My cactus is turning yellow is it diseased,plant_disease_advice,O PlantName O O O O O O
How can I treat root rot in my potted lavender,plant_disease_advice,O O O O O O O O O PlantName
How can I protect my indoor plants from pests without using chemicals,plant_disease_advice,O O O O O O O O O O O O
How often should I water my peace lily,plant_caretaking_advice,O O O O O O PlantName PlantName
What is the best way to maintain the color of my flowering maple,plant_caretaking_advice,O O O O O O O O O O O O PlantName
Can ferns survive in low humidity environments,plant_caretaking_advice,O O O O O O O
What temperature is optimal for my rubber tree plant,plant_caretaking_advice,O O O O O O PlantName PlantName O
Should I mist my air plants regularly,plant_caretaking_advice,O O O O PlantName PlantName O
What are good plant options for a small apartment,plant_purchasing_advice,O O O O O O O O O
I want a flowering plant that blooms yearround Any suggestions,plant_purchasing_advice,O O O O O O O O O O
Can you recommend plants known for their airpurifying qualities,plant_purchasing_advice,O O O O O O O O O
What kind of cactus would do well in a window sill,plant_purchasing_advice,O O O O O O O O O O O
I am looking for a plant that is safe around pets Any recommendations,plant_purchasing_advice,O O O O O O O O O O O O O
My indoor roses have black spots on their leaves What could be causing this,plant_disease_advice,O O PlantName O O O O O O O O O O O
My orchid’s leaves turn yellow and then brown Is it a disease,plant_disease_advice,O PlantName O O O O O O O O O O
What should I do to prevent mold buildup in my indoor plants soil,plant_disease_advice,O O O O O O O O O O O O O
How can I prevent Powdery Mildew on my houseplants,plant_disease_advice,O O O O O O O O O
There are small holes in my jade plants leaves Could this be an insect problem,plant_disease_advice,O O O O O O PlantName PlantName O O O O O O O
Whats the best way to water a cactus,plant_caretaking_advice,O O O O O O O O PlantName
Can I use tap water for my spider plant,plant_caretaking_advice,O O O O O O O PlantName PlantName
Can you explain how to prune a fiddle leaf fig correctly,plant_caretaking_advice,O O O O O O O PlantName PlantName PlantName O
My peace lily isnt blooming What might be causing this,plant_caretaking_advice,O PlantName PlantName O O O O O O O
Im searching for an airpurifying plant for my office What should I get,plant_purchasing_advice,O O O O O O O O O O O O O
What are some colorful and easy to grow plants for my garden,plant_purchasing_advice,O O O O O O O O O O O O
I need a sturdy yet beautiful plant as a gift Can you suggest one,plant_purchasing_advice,O O O O O O O O O O O O O O
What flowers can bloom year round in an indoor setting,plant_purchasing_advice,O O O O O O O O O O
Is there a flowering plant that can grow under fluorescent light,plant_purchasing_advice,O O O O O O O O O O O
My outdoor roses have black spots on their leaves What should I do,plant_disease_advice,O O PlantName O O O O O O O O O O
How can I treat powdery mildew on house plants without using chemicals,plant_disease_advice,O O O O O O O O O O O O
Why are my tomato plants leaves turning brown and curling up,plant_disease_advice,O O O PlantName O O O O O O O
What does it mean when my snake plant has yellow patches,plant_disease_advice,O O O O O O PlantName PlantName O O O
Can you explain how to manage the growth of mold on plant soil,plant_disease_advice,O O O O O O O O O O O O O
How often should I water my philodendron,plant_caretaking_advice,O O O O O O PlantName
What type of soil is best for my spider plant,plant_caretaking_advice,O O O O O O O O PlantName PlantName
Why are the leaves of my peace lily wilting despite regular watering,plant_caretaking_advice,O O O O O O PlantName PlantName O O O O
How much humidity does an areca palm need,plant_caretaking_advice,O O O O O PlantName PlantName O
Is it necessary to mist a fern,plant_caretaking_advice,O O O O O O PlantName
What type of indoor tree is easy to maintain,plant_purchasing_advice,O O O O O O O O O
Can you suggest some petfriendly indoor plants,plant_purchasing_advice,O O O O O O O
What is a good choice for an aromatic plant to grow indoors,plant_purchasing_advice,O O O O O O O O O O O O
I need a flowering plant that blooms all year round Any suggestions,plant_purchasing_advice,O O O O O O O O O O O O
Which plants are best for improving air quality indoors,plant_purchasing_advice,O O O O O O O O O
Why are there black spots on my rose leaves,plant_disease_advice,O O O O O O O PlantName O
What is causing leaves to fall off my jade plant,plant_disease_advice,O O O O O O O O PlantName PlantName
How can I treat powdery mildew on my begonia,plant_disease_advice,O O O O O O O O PlantName
My cactus has black rot at the base What can I do,plant_disease_advice,O PlantName O O O O O O O O O O
Why are the leaves of my rubber tree dropping despite proper watering,plant_disease_advice,O O O O O O PlantName PlantName O O O O
Whats the ideal watering schedule for succulent plants,plant_caretaking_advice,O O O O O O O O O O
Can you guide on how to repot my large monstera plant,plant_caretaking_advice,O O O O O O O O O PlantName O
How much humidity do fern plants need,plant_caretaking_advice,O O O O O O O
How often should I fertilize my indoor citrus tree,plant_caretaking_advice,O O O O O O O PlantName PlantName
What is the best way to prune a rubber plant,plant_caretaking_advice,O O O O O O O O PlantName PlantName
What should I look for when buying an aloe vera plant,plant_caretaking_advice,O O O O O O O O PlantName PlantName O
Are there any flowering plants that do well in low light,plant_purchasing_advice,O O O O O O O O O O O
What is a good air purifier plant that I can keep indoors,plant_purchasing_advice,O O O O O O O O O O O O
Which plants are safe and nontoxic for pets,plant_purchasing_advice,O O O O O O O O
Can you suggest some fragrant flowering indoor plants,plant_purchasing_advice,O O O O O O O O
What is the best treatment for powdery mildew on my rose plant,plant_disease_advice,O O O O O O O O O O PlantName O
My snake plants leaves are wrinkling What could be the cause,plant_disease_advice,O PlantName PlantName O O O O O O O O
Is there a natural remedy for aphids on my indoor plants,plant_disease_advice,O O O O O O O O O O O
My philodendron has yellowing leaves is it a disease,plant_disease_advice,O PlantName O O O O O O O
What could be causing the edges on my peace lily to turn brown,plant_disease_advice,O O O O O O O O PlantName PlantName O O O
How often should I water my ficus tree,plant_caretaking_advice,O O O O O O PlantName O
What is the best soil mix for aloe vera plants,plant_caretaking_advice,O O O O O O O PlantName PlantName O
How should I care for my cactus during winter,plant_caretaking_advice,O O O O O O PlantName O O
When is the best time to prune my hydrangea,plant_caretaking_advice,O O O O O O O O PlantName
Do ferns need to be repotted often,plant_caretaking_advice,O PlantName O O O O O
Can you suggest a plant that can survive a humid climate,plant_purchasing_advice,O O O O O O O O O O O
What are some colorful flowering plants for a sunny balcony,plant_purchasing_advice,O O O O O O O O O O
Do you have suggestions for air purifying plants,plant_purchasing_advice,O O O O O O O O
Im looking for a ground cover plant that grows quickly What should I get,plant_purchasing_advice,O O O O O O O O O O O O O O
What type of plant would work well as a privacy hedge,plant_purchasing_advice,O O O O O O O O O O O
My rose bush has black spots on its leaves What should I do,plant_disease_advice,O PlantName O O O O O O O O O O O
What should I do if my tomato plants develop yellow leaves,plant_disease_advice,O O O O O O PlantName O O O O
Are there organic treatments for aphids on indoor plants,plant_disease_advice,O O O O O O O O O
How can I get rid of mold on my air plants,plant_disease_advice,O O O O O O O O O PlantName PlantName
Why are the leaves of my rubber plant curling and how can I fix it,plant_disease_advice,O O O O O O PlantName PlantName O O O O O O O
How frequently should I water my cactus,plant_caretaking_advice,O O O O O O PlantName
Do indoor ferns require special treatment,plant_caretaking_advice,O O PlantName O O O
Whats the best way to repot an aloe plant without harming it,plant_caretaking_advice,O O O O O O O PlantName PlantName O O O O
Can you suggest a method for pruning a rubber tree plant,plant_caretaking_advice,O O O O O O O O PlantName PlantName O
Whats the ideal room temperature for a philodendron,plant_caretaking_advice,O O O O O O O PlantName
Do you know a fragrant house plant that blooms in the winter,plant_purchasing_advice,O O O O O O O O O O O O
I want an airpurifying plant for my home office what do you suggest,plant_purchasing_advice,O O O O O O O O O O O O O
Can you recommend a colorful flowering plant that needs indirect sunlight,plant_purchasing_advice,O O O O O O O O O O O
I need a plant for my bathroom any humidityloving suggestions,plant_purchasing_advice,O O O O O O O O O O
Whats a suitable plant to place in a westfacing window,plant_purchasing_advice,O O O O O O O O O O
My ficus trees leaves have tiny white dots on them how can I treat it,plant_disease_advice,O PlantName PlantName O O O O O O O O O O O O
What kind of disease causes black spots on rose leaves and how can I treat it,plant_disease_advice,O O O O O O O O PlantName O O O O O O O
My monsteras leaves are turning yellow and brown at the edges What could be wrong,plant_disease_advice,O PlantName O O O O O O O O O O O O O
Can you help me understand why my peace lilys blooms are turning black,plant_disease_advice,O O O O O O O PlantName PlantName O O O O
Theres a white powdery substance on my ivys leaves What is it and how can I treat it,plant_disease_advice,O O O O O O O PlantName O O O O O O O O O O
How often should I water my succulent,plant_caretaking_advice,O O O O O O PlantName
My fiddle leaf figs leaves are dropping What should I do,plant_disease_advice,O PlantName PlantName PlantName O O O O O O O
What are some petfriendly houseplants I can buy,plant_purchasing_advice,O O O O O O O O
Can you recommend an easytogrow fruit plant for indoor cultivation,plant_purchasing_advice,O O O O O O O O O O
What is the best way to water an air plant,plant_caretaking_advice,O O O O O O O O PlantName PlantName
How should I prune a rubber plant to promote bushier growth,plant_caretaking_advice,O O O O O PlantName PlantName O O O O
What plants can I buy for a small balcony,plant_purchasing_advice,O O O O O O O O O
Can you suggest fragrant indoor plants to improve my living rooms ambiance,plant_purchasing_advice,O O O O O O O O O O O O
How to treat root rot on a bonsai tree,plant_disease_advice,O O O O O O O PlantName PlantName
What are pesticides safe for indoor usage against mealybugs,plant_disease_advice,O O O O O O O O O
Can I save a plant thats been infested by aphids,plant_disease_advice,O O O O O O O O O O
What are the symptoms of overwatering in a monstera plant,plant_caretaking_advice,O O O O O O O O PlantName O
I want to buy a flowering houseplant that blooms all year round What are my options,plant_purchasing_advice,O O O O O O O O O O O O O O O O
