text;intent;slots
Which houseplants would thrive in my office with fluorescent lighting;plant_purchasing_advise;O O O O O O B-Environment O I-Environment I-Environment 
Can you suggest a plant that doesnt need much sunlight for my bathroom;plant_purchasing_advise;O O O O O O O I-PlantType O I-PlantType O O B-Environment 
What is a nontoxic plant suitable for a house with pets;plant_purchasing_advise;O O O O I-PlantType O O O B-Environment O I-Environment 
What could be causing the leaves on my jade plant to wrinkle;plant_disease_advise;O O O O O B-Symptom O O B-PlantName I-PlantName O I-Symptom 
My orchid’s roots are turning brown and mushy what can I do;plant_disease_advise;O O B-Symptom O I-Symptom I-Symptom O I-Symptom O O O O 
How can I treat rust on my pilea plant;plant_disease_advise;O O O O B-Symptom O O B-PlantName I-PlantName 
Any recommendation for treating aphids on my rose plant;plant_disease_advise;O O O B-Symptom I-Symptom O O B-PlantName I-PlantName 
What can I do if my snake plant has mold growing on the soil;plant_disease_advise;O O O O O O B-PlantName I-PlantName O B-Symptom I-Symptom O O B-Environment 
How often should I repot a peace lily;plant_caretaking_advise;O O O O B-AdviceType O B-PlantName I-PlantName 
What type of soil is best for growing aloe vera;plant_caretaking_advise;O O O B-AdviceType O O O O B-PlantName I-PlantName 
How much watering is optimal for a monstera plant;plant_caretaking_advise;O O B-AdviceType O B-AdviceType O O B-PlantName O 
Can you advise on how to prune an overgrown jade plant;plant_caretaking_advise;O O O O O O B-AdviceType O B-PlantName I-PlantName I-PlantName 
Do I need to fertilize my indoor ferns;plant_caretaking_advise;O O O O B-AdviceType O B-PlantName I-PlantName 
Can you recommend a flowering plant that grows well in bright indirect light;plant_purchasing_advise;O O O O B-PlantType I-PlantType O O O O B-PlantSpecification I-PlantSpecification I-PlantSpecification 
Im looking for a plant that can add a pop of color to my living room any suggestions;plant_purchasing_advise;O O O O O O O O O B-PlantType O I-PlantType O O B-Environment I-Environment O O 
Do you have suggestions for petfriendly houseplants;plant_purchasing_advise;O O O O O O I-PlantType 
What are some good plant choices for a home with small children;plant_purchasing_advise;O O O B-PlantType O I-PlantType O O B-Environment O I-Environment I-Environment 
Could you suggest a good office plant that requires infrequent watering;plant_purchasing_advise;O O O O B-PlantType I-PlantType I-PlantType O B-AdviceType I-AdviceType I-AdviceType 
My rose plants leaves are covered in a white powdery substance what is this and how do I treat it;plant_disease_advise;O B-PlantName O B-Symptom O B-Symptom O O I-Symptom I-Symptom I-Symptom O O O O O O O O O 
The leaves of my spider plant are turning brown at the tips whats causing this;plant_disease_advise;O B-Symptom O O B-PlantName I-PlantName O I-Symptom I-Symptom O O I-Symptom O O O 
My ZZ plant has yellowing leaves what could be wrong;plant_disease_advise;O B-PlantName I-PlantName O B-Symptom I-Symptom O O O O 
How do I get rid of scale insects on my fig tree;plant_disease_advise;O O O O O O B-Symptom I-Symptom O O B-PlantName I-PlantName 
Why are my orchids leaves wrinkled and leathery;plant_disease_advise;O O O O B-Symptom I-Symptom O I-Symptom 
I have a ZZ plant How often should I water it;plant_caretaking_advise;O O O B-PlantName I-PlantName O O O O B-AdviceType O 
What is the best way to prune a fiddle leaf fig;plant_caretaking_advise;O O O O O O B-AdviceType O B-PlantName I-PlantName I-PlantName 
My aloe plant seems to be wilting How can I revive it;plant_caretaking_advise;O B-PlantName I-PlantName O O O O O O O B-AdviceType O 
How much sunlight does a rubber plant need;plant_caretaking_advise;O O B-AdviceType O O B-PlantName I-PlantName O 
Can I use regular potting soil for my cactus;plant_caretaking_advise;O O O O B-AdviceType I-AdviceType O O B-PlantName 
My indoor space receives very little light What are some plants I can buy;plant_purchasing_advise;O B-Environment I-Environment O O O B-Environment O O O B-PlantType O O I-PlantType 
I am interested in purchasing a bonsai What kind of care will it require;plant_purchasing_advise;O O O O O O B-PlantType O B-Requirement O I-PlantType O O O 
Can you suggest any flowering plants that bloom throughout the year;plant_purchasing_advise;O O O O B-PlantType I-PlantType O B-PlantSpecification B-PlantSpecification O I-PlantSpecification 
Im considering buying a fern Do they need a specific type of soil;plant_purchasing_advise;O O O O B-PlantType O O B-Requirement O I-Requirement I-Requirement O I-Requirement 
Im interested in adding a tropical twist to my plant collection What would you recommend;plant_purchasing_advise;O O O B-Requirement O I-Requirement I-Requirement O O B-Environment I-Environment O O O O 
There are black spots on the leaves of my rose plant What could be the cause;plant_disease_advise;O O B-Symptom I-Symptom O O O O O B-PlantName I-PlantName O O O O B-Requirement 
Ive noticed white powdery substances on my plants How can I treat this;plant_disease_advise;O O B-Symptom I-Symptom I-Symptom O O B-Environment O O O B-Requirement O 
The leaves on my orchid are turning yellow and falling off Is it a disease;plant_disease_advise;O B-Symptom O O B-PlantName O I-Symptom I-Symptom O I-Symptom I-Symptom O O O O 
My peace lily has brown tips on its leaves Is it sick;plant_disease_advise;O B-PlantName I-PlantName O B-Symptom I-Symptom O O B-Symptom O O B-Requirement 
The flowers on my hydrangea are turning brown and dying quickly What could be the problem;plant_disease_advise;O B-Symptom O O B-PlantName O I-Symptom I-Symptom O I-Symptom I-Symptom O O O O B-Requirement 
How often should I water my aloe vera plant;plant_caretaking_advise;O O O O B-AdviceType O B-PlantName I-PlantName O 
My peace lilys leaves are wilting despite regular watering What could be the issue;plant_caretaking_advise;O B-PlantName O B-Symptom O I-Symptom O O O O O O O B-AdviceType 
What sort of care does a rubber plant need to grow well;plant_caretaking_advise;O O O B-AdviceType O O B-PlantName I-PlantName O O B-AdviceType B-AdviceType 
How should I prune my fern to keep it healthy and compact;plant_caretaking_advise;O O O B-AdviceType O B-PlantName O B-AdviceType O B-AdviceType O B-AdviceType 
Can my poinsettia survive outside the holiday season How can I care for it;plant_caretaking_advise;O O B-PlantName B-Requirement I-Requirement O B-Requirement I-Requirement O O O B-AdviceType O O 
Im searching for a good air purifying plant What should I consider buying;plant_purchasing_advise;O O O O B-Requirement I-Requirement I-Requirement B-PlantType O O O B-PlantSpecification I-PlantSpecification 
Are there any flowering plants suitable for an office with fluorescent lighting;plant_purchasing_advise;O O O B-PlantType I-PlantType O O O B-Environment O I-Environment I-Environment 
What are some colorful plants that can grow in low light conditions;plant_purchasing_advise;O O O B-PlantType I-PlantType O O O O B-Environment I-Environment I-Environment 
Can you suggest a few plants that are safe around pets;plant_purchasing_advise;O O O O O I-PlantType O O B-PlantType O B-Environment 
I want to grow a plant in my bathroom What would thrive in a humid environment;plant_purchasing_advise;O O O O O O O O B-Environment O O B-Requirement O O I-Requirement I-Requirement 
Whats causing the powdery mildew on my lilacs and how can I control it;plant_disease_advise;O B-Requirement O B-Symptom I-Symptom O O B-PlantName O O O O I-Requirement O 
I think my roses have blackspot fungus How can I confirm and treat this;plant_disease_advise;O O O B-PlantName O B-Symptom I-Symptom O O O B-Requirement O I-Requirement O 
Are there any organic methods to control aphids on my houseplants;plant_disease_advise;O O O B-Requirement I-Requirement O B-Requirement I-Requirement O O B-Environment 
The leaves of my ficus plant are dropping Can this be a sign of a disease;plant_disease_advise;O B-Symptom O O B-PlantName O O I-Symptom O O O O B-Requirement O O I-Requirement 
My tomato plant leaves are curling and have yellow spots What could be wrong;plant_disease_advise;O B-Symptom I-Symptom B-Symptom O I-Symptom O O I-Symptom I-Symptom O O O B-Requirement 
Should I mist my fern plant;plant_caretaking_advise;O O B-AdviceType O B-PlantName O 
How often should I repot my indoor plants;plant_caretaking_advise;O O O O B-AdviceType O B-Environment I-Environment 
Whats the optimal watering schedule for a rubber plant;plant_caretaking_advise;O O O B-AdviceType B-AdviceType O O B-PlantName I-PlantName 
Can my peace lily survive in indirect sunlight;plant_caretaking_advise;O O B-PlantName I-PlantName B-AdviceType O B-Environment I-Environment 
How can I increase humidity for my indoor tropical plants;plant_caretaking_advise;O O O B-AdviceType I-AdviceType O O B-Environment I-Environment I-Environment 
What plant can be a good choice for an office desk with artificial light;plant_purchasing_advise;O O O O O B-PlantType I-PlantType O O B-Environment I-Environment O B-Environment I-Environment 
Can you suggest some flowering plants for a balcony that gets morning sun;plant_purchasing_advise;O O O O B-PlantType I-PlantType O O B-Environment O O B-Environment I-Environment 
Which edible plants can I grow in a small indoor pot;plant_purchasing_advise;O B-PlantType I-PlantType O O O O O B-Environment I-Environment I-Environment 
Do you have any recommendations for plants that are safe for cats;plant_purchasing_advise;O O O O O O I-Requirement O O B-Requirement O B-Environment 
What are some plants that can thrive in a bathroom environment;plant_purchasing_advise;O O O I-PlantType O O B-PlantType O O B-Environment I-Environment 
My indoor palm has started yellowing at the tips what is wrong;plant_disease_advise;O B-PlantName I-PlantName O O B-Symptom O O I-Symptom O O B-Requirement 
How can I get rid of aphids on my indoor plants;plant_disease_advise;O O O O B-Symptom I-Symptom I-Symptom O O B-PlantName I-PlantName 
What can I do about the powdery mildew on my indoor roses;plant_disease_advise;O O O O O O B-Symptom I-Symptom O O B-PlantName I-PlantName 
I spotted some tiny red bugs on my ficus what should I do;plant_disease_advise;O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom O O B-PlantName O O O O 
Is there a treatment for the black mold on my houseplants leaves;plant_disease_advise;O O O O O O B-Symptom I-Symptom I-Symptom O O I-Symptom 
Whats the best way to water succulent plants;plant_caretaking_advise;O O O O O B-AdviceType B-PlantName O 
What are the pruning needs of a Ficus plant;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType B-PlantName O 
How often should I fertilize my indoor herbs;plant_caretaking_advise;O O O O B-AdviceType O B-PlantName I-PlantName 
How can I maximize blooms on my butterfly bush;plant_caretaking_advise;O O O B-AdviceType I-AdviceType O O B-PlantName I-PlantName 
What is the correct pot size for a Monstera deliciosa;plant_caretaking_advise;O O O O O O O O B-PlantName I-PlantName 
What types of plant would do well in a high humidity environment;plant_purchasing_advise;O O O O O O O O O B-Environment I-Environment O 
I need a recommendation for a plant with colorful foliage for my living room;plant_purchasing_advise;O O O O O O O O B-PlantType I-PlantType O O B-Environment I-Environment 
What plant can I buy that is safe for my cat;plant_purchasing_advise;O O O O O O O B-Requirement I-Requirement I-Requirement I-Requirement 
Can you suggest a fragrant indoor plant for my kitchen;plant_purchasing_advise;O O O O O O O O O B-Environment 
What plants are best for purifying the air in my house;plant_purchasing_advise;O O O O O B-Requirement I-Requirement I-Requirement I-Requirement I-Requirement I-Requirement 
How to treat powdery mildew on indoor plants;plant_disease_advise;O O O B-Symptom I-Symptom O B-Environment I-Environment 
My plants leaves are curling and drying out What could be wrong;plant_disease_advise;O O O O B-Symptom I-Symptom I-Symptom I-Symptom O O O O 
Can you suggest a treatment for root rot in my indoor plants;plant_disease_advise;O O O O O O B-Symptom I-Symptom O O B-Environment I-Environment 
My indoor fern has yellow and crispy fronds What could be the issue;plant_disease_advise;O B-PlantName I-PlantName O B-Symptom I-Symptom I-Symptom I-Symptom O O O O O 
Whats causing the black spots on my peace lilys leaves;plant_disease_advise;O O O B-Symptom I-Symptom I-Symptom O B-PlantName O I-Symptom 
Which is the best method to water an indoor cactus;plant_caretaking_advise;O O O O O O B-AdviceType O B-Environment O 
Does my ZZ plant need a lot of light to grow;plant_caretaking_advise;O O B-PlantName O O O O O B-AdviceType I-AdviceType I-AdviceType 
Is there a way to encourage my fiddle leaf fig to branch;plant_caretaking_advise;O O O O I-AdviceType B-AdviceType O B-PlantName I-PlantName I-PlantName I-AdviceType I-AdviceType 
What should I do if my lucky bamboo talks yellow colour;plant_caretaking_advise;O O O O O O B-PlantName I-PlantName O B-Symptom I-Symptom 
When should I repot my spider plant;plant_caretaking_advise;O O O B-AdviceType O B-PlantName I-PlantName 
Can you suggest a small table top plant for my work desk;plant_purchasing_advise;O O O O B-PlantType I-PlantType I-PlantType O O O B-Environment I-Environment 
I am new to gardening Can you suggest some hardy plants for beginners;plant_purchasing_advise;O O O O O O O O O B-Requirement O I-Requirement I-Requirement 
Which is the best air purifier plant I can buy;plant_purchasing_advise;O O O O B-PlantType I-PlantType I-PlantType O O O 
I am looking for a flowering plant for my sunny balcony Any suggestions;plant_purchasing_advise;O O O O O B-PlantType I-PlantType O O B-Environment I-Environment O O 
What are some fast growing indoor plants;plant_purchasing_advise;O O O O O B-Environment I-Environment 
What can cause wilting in stems of my money plant;plant_disease_advise;O O O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom B-PlantName I-PlantName 
My rubber plant leaves have faint yellow spots what can be the reason;plant_disease_advise;O B-PlantName I-PlantName O O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom I-Symptom I-Symptom I-Symptom 
How can I treat white mold on my peace lily without using chemicals;plant_disease_advise;O O O O B-Symptom I-Symptom O O B-PlantName I-PlantName B-Requirement I-Requirement I-Requirement 
What should I do when leaves of my aloe plant turn brown at the tips;plant_disease_advise;O O O O O O O O B-PlantName I-PlantName O B-Symptom I-Symptom I-Symptom I-Symptom 
Why are the leaves of my indoor palm turning brown;plant_disease_advise;O O O O O O B-Environment I-Environment B-Symptom I-Symptom 
What is the best pruning technique for a ficus tree;plant_caretaking_advise;O O O O B-AdviceType I-AdviceType O O B-PlantName O 
Do I need to rotate my indoor plants for them to grow evenly;plant_caretaking_advise;O O O I-AdviceType B-AdviceType O B-Environment I-Environment I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
How can I increase humidity for my fern;plant_caretaking_advise;O O O B-AdviceType I-AdviceType O O B-PlantName 
What type of soil would be best for my rubber plant;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType O O B-PlantName I-PlantName 
Is it necessary to mist my air plant or can it just soak up water;plant_caretaking_advise;O I-AdviceType O O B-AdviceType I-AdviceType B-PlantType I-PlantType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
Can you suggest a flowering plant that will do well in a bathroom setting;plant_purchasing_advise;O O O O O O O O O O O O B-Environment O 
What are some plants known for removing toxins from the air;plant_purchasing_advise;O O O O O O B-Requirement I-Requirement I-Requirement I-Requirement I-Requirement 
Which plants can grow well on a balcony with direct sun;plant_purchasing_advise;O O O O O O O B-Environment I-Environment I-Environment I-Environment 
What type of plants would you suggest for a small home office;plant_purchasing_advise;O O O O O O O O O B-Environment I-Environment I-Environment 
Can you suggest sturdy plants that can withstand occasional neglect;plant_purchasing_advise;O O O B-Requirement I-Requirement I-Requirement I-Requirement I-Requirement I-Requirement I-Requirement 
My indoor rose bush has black spots on the leaves What should I do;plant_disease_advise;O B-Environment I-Environment I-Environment O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom O O O O 
Whats wrong with my plant if the leaves start curling up;plant_disease_advise;O O O O O O O O O B-Symptom I-Symptom 
How can I treat powdery mildew on my indoor plants;plant_disease_advise;O O O O B-Symptom I-Symptom O O B-Environment I-Environment 
What could be the cause of yellowing leaves on my peace lily;plant_disease_advise;O O O O O O B-Symptom I-Symptom I-Symptom I-Symptom B-PlantName I-PlantName 
How can I control aphids on my indoor plants;plant_disease_advise;O O O B-Symptom I-Symptom O O B-Environment I-Environment 
How often should I water my spider plant;plant_caretaking_advise;O O O O B-AdviceType O B-PlantName I-PlantName 
What type of soil is best for growing succulents;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType B-PlantType 
Can you guide me on how to repot a rubber plant;plant_caretaking_advise;O O O O O O O B-AdviceType O B-PlantName I-PlantName 
My fiddle leaf fig has brown edges on the leaves What might be causing this;plant_caretaking_advise;O B-PlantName I-PlantName I-PlantName O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom O O O O O 
How can I increase the humidity for my ferns;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType O O B-PlantName 
What type of herbs can thrive in partial sunlight;plant_purchasing_advise;O O O B-PlantType I-PlantType I-PlantType I-PlantType B-Environment I-Environment 
Can you suggest an indoor flowering plant that blooms throughout the year;plant_purchasing_advise;O O O O B-Environment B-PlantType I-PlantType O B-PlantSpecification I-PlantSpecification I-PlantSpecification I-PlantSpecification 
I need a plant that can grow in water What are my options;plant_purchasing_advise;O O O O O O B-Requirement I-Requirement I-Requirement O O O O 
Which indoor plants can help to purify the air;plant_purchasing_advise;O B-Environment I-Environment O O O B-Requirement I-Requirement I-Requirement 
Which is the best low maintenance plant for office;plant_purchasing_advise;O O O O B-Requirement I-Requirement I-Requirement O B-Environment 
My rosemary has black spots on the leaves What should I do;plant_disease_advise;O B-PlantName O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom O O O O 
How do I treat powdery mildew on my zinnias;plant_disease_advise;O O O B-Requirement B-Symptom I-Symptom O O B-PlantName 
What can I do about aphids on my gardenia;plant_disease_advise;O O O O O B-Symptom O O B-PlantName 
Is there a natural remedy for scale insects on my bonsai;plant_disease_advise;O O O B-Requirement I-Requirement O B-Symptom I-Symptom O O B-PlantName 
How to prevent root rot in succulents;plant_disease_advise;O O B-Requirement I-Requirement I-Requirement O B-PlantType 
What watering regime would you suggest for a ZZ plant;plant_caretaking_advise;O B-AdviceType I-AdviceType O O O O O B-PlantName O 
Can you tell me how to prune a fiddle leaf fig;plant_caretaking_advise;O O O O O O B-AdviceType O B-PlantName I-PlantName I-PlantName 
What kind of soil does a cactus require;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
How can I repot my rubber plant without causing shock;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType B-Symptom I-Symptom I-Symptom 
What are the signs of overwatering in spider plants;plant_caretaking_advise;O O O O O B-Symptom I-Symptom I-Symptom I-Symptom 
Which plants would you suggest for a droughtprone balcony;plant_purchasing_advise;O O O O O O O O I-Environment 
Can you recommend a flowering plant for a partial shade area;plant_purchasing_advise;O O O I-Requirement B-PlantType I-PlantType B-Requirement I-Requirement I-Requirement I-Requirement I-Requirement 
What indoor plants produce the most oxygen;plant_purchasing_advise;O B-Environment I-Environment B-Requirement I-Requirement I-Requirement I-Requirement 
Which fruit plants can blossom indoors;plant_purchasing_advise;O B-PlantType I-PlantType O B-Requirement I-Requirement 
I need a plant thats safe for dogs Any suggestions;plant_purchasing_advise;O O O O O B-Requirement I-Requirement I-Requirement O O 
Why are the leaves on my jade plant shriveling up;plant_disease_advise;O O O O O O B-PlantName I-PlantName B-Symptom I-Symptom 
My monsteras edges are turning brown Whats wrong;plant_disease_advise;O O I-Symptom O B-Symptom I-Symptom O O 
Are there any natural remedies for powdery mildew on indoor plants;plant_disease_advise;O O O B-Requirement I-Requirement O B-Symptom I-Symptom O B-Environment I-Environment 
What could be the cause of black spots on my chinese evergreen leaves;plant_disease_advise;O O O O O O B-Symptom I-Symptom I-Symptom O B-PlantName I-PlantName I-Symptom 
How can I treat root rot in my snake plant;plant_disease_advise;O O O O B-Symptom I-Symptom O O B-PlantName I-PlantName 
What should the temperature be for my potted cactus to grow;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
What is the watering requirement for indoor bamboo plants;plant_caretaking_advise;O O O B-AdviceType I-AdviceType O B-Environment I-Environment O 
How much sunlight would be ideal for my indoor fern;plant_caretaking_advise;O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType O O B-Environment I-Environment 
Can you advise me on pruning techniques for a Monstera Deliciosa;plant_caretaking_advise;O O O O O B-AdviceType I-AdviceType O O B-PlantName I-PlantName 
What kind of soil is best for my indoor palm;plant_caretaking_advise;O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
Can you suggest a flower that will bloom in the winter indoors;plant_purchasing_advise;O O O O B-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType B-Environment 
What kind of plant can I purchase for a room that gets little sunlight;plant_purchasing_advise;O O O B-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType B-Environment I-Environment 
What flowering plants would you suggest for a balcony that gets direct sun;plant_purchasing_advise;O B-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-Environment I-Environment I-Environment I-Environment 
Can you recommend a plant that I can place in my low humidity office;plant_purchasing_advise;O O O O O O O O O O O O O I-Environment 
What would be the best herb plant to grow on a kitchen window sill;plant_purchasing_advise;O O O O O O O O O O O O O O 
My rose plant leaves have black spots What is it;plant_disease_advise;O B-PlantName O I-Symptom O B-Symptom I-Symptom O O O 
I noticed a white fuzzy substance on my houseplant Is it harmful;plant_disease_advise;O O O B-Symptom I-Symptom I-Symptom O O B-Environment O O O 
Why are the leaves of my indoor plant curling;plant_disease_advise;O O O O O O B-Environment I-Environment B-Symptom 
What can I do to treat powdery mildew on my zinnias;plant_disease_advise;O O O O O B-AdviceType B-Symptom I-Symptom O O B-PlantName 
Why are my indoor plants getting yellow leaves with brown tips;plant_disease_advise;O O O B-Environment I-Environment O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom 
Which succulents are best for an indoor garden;plant_purchasing_advise;O B-PlantType O O O O B-Environment I-Environment 
What type of plant would you recommend for improving indoor air quality;plant_purchasing_advise;O O O B-PlantType O O O O O B-Environment I-Environment I-Environment 
Can you suggest a flowering plant that can survive in low light;plant_purchasing_advise;O O O O B-PlantType I-PlantType I-PlantType I-PlantType I-PlantType O O O 
What kind of plants are safe for pets;plant_purchasing_advise;O O O O O B-Requirement I-Requirement I-Requirement 
Im looking for a plant that can tolerate high humidity any ideas;plant_purchasing_advise;O O O O O O O O O O O O 
My rose bush is attracting aphids How do I manage this;plant_disease_advise;O B-PlantName O O B-Symptom I-Symptom O O O B-AdviceType I-AdviceType 
Whats the best treatment for powdery mildew on my potted plants;plant_disease_advise;O O O B-AdviceType I-AdviceType B-Symptom I-Symptom O O B-Environment I-Environment 
Why are there holes in the leaves of my indoor plants;plant_disease_advise;O O O B-Symptom I-Symptom O I-Symptom O O B-Environment I-Environment 
I think my plant has root rot what should I do;plant_disease_advise;I-AdviceType O I-Symptom I-Symptom O O O I-AdviceType I-AdviceType I-AdviceType B-AdviceType 
How should I treat an indoor citrus tree infested with scale;plant_disease_advise;O O O B-AdviceType O B-Environment O O B-Symptom I-Symptom I-Symptom 
What is the right way to water an indoor palm;plant_caretaking_advise;O O O I-AdviceType I-AdviceType O B-AdviceType O B-Environment I-Environment 
When is the right time to repot a houseplant;plant_caretaking_advise;O O O I-AdviceType I-AdviceType O B-AdviceType O B-Environment 
My fern is shedding a lot of leaves what should I do;plant_caretaking_advise;O B-PlantName O B-Symptom I-Symptom I-Symptom I-Symptom I-Symptom I-AdviceType O O B-AdviceType 
Can you guide me on how to prune a snake plant properly;plant_caretaking_advise;O O O O O O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
How much humidity does a maidenhair fern need;plant_caretaking_advise;O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
How often should I water my snake plant;plant_caretaking_advise;O I-AdviceType I-AdviceType I-AdviceType B-AdviceType O B-PlantName I-PlantName 
Can I use coffee grounds as fertilizer for my houseplants;plant_caretaking_advise;O O O O O I-Requirement I-Requirement I-Requirement I-Requirement I-Requirement 
Why are the tips of my spider plant turning brown;plant_caretaking_advise;O O O I-Symptom O O B-PlantName I-PlantName B-Symptom I-Symptom 
How much light does a ZZ plant require;plant_caretaking_advise;O O B-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType I-AdviceType 
Should I mist my fern or water it directly;plant_caretaking_advise;O O B-AdviceType I-AdviceType I-AdviceType O B-AdviceType I-AdviceType I-AdviceType 
What type of indoor plant would you recommend for improving air quality;plant_purchasing_advise;O O O B-Environment I-Environment O O O O B-PlantSpecification I-PlantSpecification I-PlantSpecification 
How big does a fiddle leaf fig usually grow;plant_purchasing_advise;O O O O B-PlantName I-PlantName I-PlantName O O 
Could you suggest flowering plants that can grow well indoors;plant_purchasing_advise;O O O B-PlantType I-PlantType I-PlantType I-PlantType I-PlantType I-PlantType B-Environment 
Is palm a good indoor plant option Does it grow well in low light conditions;plant_purchasing_advise;O B-PlantType O O B-Environment I-Environment O O O O O O O O O 
What kind of edible plants can grow indoors;plant_purchasing_advise;O O O B-PlantType I-PlantType O O B-Environment 
My indoor rose plant has black spots on leaves How should I treat it;plant_disease_advise;O B-Environment I-Environment O O B-Symptom I-Symptom I-Symptom I-Symptom O O O B-AdviceType I-AdviceType 
What is the white powder on my indoor plants leaves and how to eliminate it;plant_disease_advise;O O O B-Symptom I-Symptom I-Symptom O O O I-Symptom O O O B-AdviceType I-AdviceType 
My cactus is turning yellow is it diseased;plant_disease_advise;O O B-Symptom B-Symptom I-Symptom B-Symptom I-Symptom B-Symptom 
